TYPECOM,COM,REG,DEP,CTCD,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,COMPARENT
COM,16001,75,16,16D,163,1,ABZAC,Abzac,Abzac,1610,NA
COM,16002,75,16,16D,163,4,ADJOTS,Adjots,Les Adjots,1608,NA
COM,16003,75,16,16D,161,1,AGRIS,Agris,Agris,1619,NA
COM,16005,75,16,16D,163,1,AIGRE,Aigre,Aigre,1608,NA
COM,16007,75,16,16D,163,1,ALLOUE,Alloue,Alloue,1606,NA
COM,16008,75,16,16D,163,1,AMBERAC,Ambérac,Ambérac,1605,NA
COM,16009,75,16,16D,163,1,AMBERNAC,Ambernac,Ambernac,1610,NA
COM,16011,75,16,16D,163,1,ANAIS,Anais,Anais,1605,NA
COM,16012,75,16,16D,162,1,ANGEAC CHAMPAGNE,Angeac-Champagne,Angeac-Champagne,1607,NA
COM,16013,75,16,16D,162,1,ANGEAC CHARENTE,Angeac-Charente,Angeac-Charente,1607,NA
COM,16014,75,16,16D,162,1,ANGEDUC,Angeduc,Angeduc,1609,NA
COM,16015,75,16,16D,161,1,ANGOULEME,Angoulême,Angoulême,1698,NA
COM,16016,75,16,16D,163,1,ANSAC SUR VIENNE,Ansac-sur-Vienne,Ansac-sur-Vienne,1610,NA
COM,16018,75,16,16D,162,1,ARS,Ars,Ars,1612,NA
COM,16019,75,16,16D,161,1,ASNIERES SUR NOUERE,Asnières-sur-Nouère,Asnières-sur-Nouère,1618,NA
COM,16020,75,16,16D,161,1,AUBETERRE SUR DRONNE,Aubeterre-sur-Dronne,Aubeterre-sur-Dronne,1617,NA
COM,16023,75,16,16D,163,1,AUNAC SUR CHARENTE,Aunac-sur-Charente,Aunac-sur-Charente,1605,NA
COM,16024,75,16,16D,163,1,AUSSAC VADALLE,Aussac-Vadalle,Aussac-Vadalle,1605,NA
COM,16025,75,16,16D,162,0,BAIGNES SAINTE RADEGONDE,Baignes-Sainte-Radegonde,Baignes-Sainte-Radegonde,1609,NA
COM,16026,75,16,16D,161,0,BALZAC,Balzac,Balzac,1614,NA
COM,16027,75,16,16D,163,0,BARBEZIERES,Barbezières,Barbezières,1608,NA
COM,16028,75,16,16D,162,0,BARBEZIEUX SAINT HILAIRE,Barbezieux-Saint-Hilaire,Barbezieux-Saint-Hilaire,1609,NA
COM,16029,75,16,16D,161,0,BARDENAC,Bardenac,Bardenac,1617,NA
COM,16030,75,16,16D,162,0,BARRET,Barret,Barret,1609,NA
COM,16031,75,16,16D,163,0,BARRO,Barro,Barro,1608,NA
COM,16032,75,16,16D,162,0,BASSAC,Bassac,Bassac,1615,NA
COM,16034,75,16,16D,161,0,BAZAC,Bazac,Bazac,1617,NA
COM,16035,75,16,16D,163,0,BEAULIEU SUR SONNETTE,Beaulieu-sur-Sonnette,Beaulieu-sur-Sonnette,1606,NA
COM,16036,75,16,16D,162,0,BECHERESSE,Bécheresse,Bécheresse,1609,NA
COM,16037,75,16,16D,161,0,BELLON,Bellon,Bellon,1617,NA
COM,16038,75,16,16D,163,0,BENEST,Benest,Benest,1606,NA
COM,16039,75,16,16D,163,0,BERNAC,Bernac,Bernac,1608,NA
COM,16040,75,16,16D,162,0,BERNEUIL,Berneuil,Berneuil,1609,NA
COM,16041,75,16,16D,161,0,BESSAC,Bessac,Bessac,1617,NA
COM,16042,75,16,16D,163,0,BESSE,Bessé,Bessé,1608,NA
COM,16044,75,16,16D,163,0,BIOUSSAC,Bioussac,Bioussac,1608,NA
COM,16045,75,16,16D,162,0,BIRAC,Birac,Birac,1607,NA
COM,16046,75,16,16D,162,0,COTEAUX DU BLANZACAIS,Coteaux-du-Blanzacais,Coteaux-du-Blanzacais,1609,NA
COM,16047,75,16,16D,161,0,BLANZAGUET SAINT CYBARD,Blanzaguet-Saint-Cybard,Blanzaguet-Saint-Cybard,1617,NA
COM,16048,75,16,16D,162,0,BOISBRETEAU,Boisbreteau,Boisbreteau,1609,NA
COM,16049,75,16,16D,161,0,BONNES,Bonnes,Bonnes,1617,NA
COM,16050,75,16,16D,162,0,BONNEUIL,Bonneuil,Bonneuil,1607,NA
COM,16052,75,16,16D,161,0,BORS (CANTON DE TUDE ET LAVALETTE),Bors (Canton de Tude-et-Lavalette),Bors (Canton de Tude-et-Lavalette),1617,NA
COM,16053,75,16,16D,162,0,BORS (CANTON DE CHARENTE SUD),Bors (Canton de Charente-Sud),Bors (Canton de Charente-Sud),1609,NA
COM,16054,75,16,16D,163,2,BOUCHAGE,Bouchage,Le Bouchage,1606,NA
COM,16055,75,16,16D,161,0,BOUEX,Bouëx,Bouëx,1604,NA
